ANCHOR_ID,ANCHOR_TYPE,NAME,ANCHOR_ROLE,ANCHOR_CLASS,FLOOR,ENVIROMENT,AREA_TYPE,VERTICAL,X,Y,POLYGON,WALKABLE,NOTES,STATUS,ACCESS_WHEELCHAIR,ACCESS_STROLLER,ACCESS_LUGGAGE,PRE_SITE_QA,
COR_PLZ_E_S_F0,PLAZA,Plaza de Miguel Hernandez,PATH,PLAZA,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.6266,0.3099,,Verdadero,Plaza de Miguel Hernandez,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_PLZ_E_W_F0,PLAZA,Plaza de Miguel Hernandez,PATH,PLAZA,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.5936,0.2879,,Verdadero,Plaza de Miguel Hernandez,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_PLZ_FC_N_E_F1,PLAZA,Food Court – North,PATH,PLAZA,F1,OUTDOOR_OPEN_AIR,MALL,Falso,0.6466,0.4519,,Verdadero,Food Court – North,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_PLZ_FC_N_E_M1,PLAZA,Food Court – North,PATH,PLAZA,F1,OUTDOOR_OPEN_AIR,MALL,Falso,0.6246,0.4349,,Verdadero,Food Court – North,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_PLZ_FC_N_E_M2,PLAZA,Food Court – North,PATH,PLAZA,F1,OUTDOOR_OPEN_AIR,MALL,Falso,0.6446,0.4499,,Verdadero,Food Court – North,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_PLZ_FC_N_N_F1,PLAZA,Food Court – North,PATH,PLAZA,F1,OUTDOOR_OPEN_AIR,MALL,Falso,0.6176,0.4259,,Verdadero,Food Court – North,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_PLZ_FC_N_N_M1,PLAZA,Food Court – North,PATH,PLAZA,F1,OUTDOOR_OPEN_AIR,MALL,Falso,0.5776,0.4639,,Verdadero,Food Court – North,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_PLZ_FC_N_N_M2,PLAZA,Food Court – North,PATH,PLAZA,F1,OUTDOOR_OPEN_AIR,MALL,Falso,0.5946,0.4419,,Verdadero,Food Court – North,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_PLZ_FC_N_S_F1,PLAZA,Food Court – North,PATH,PLAZA,F1,OUTDOOR_OPEN_AIR,MALL,Falso,0.6056,0.5159,,Verdadero,Food Court – North,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_PLZ_FC_N_S_M1,PLAZA,Food Court – North,PATH,PLAZA,F1,OUTDOOR_OPEN_AIR,MALL,Falso,0.6386,0.4739,,Verdadero,Food Court – North,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_PLZ_FC_N_S_M2,PLAZA,Food Court – North,PATH,PLAZA,F1,OUTDOOR_OPEN_AIR,MALL,Falso,0.6256,0.4939,,Verdadero,Food Court – North,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_PLZ_FC_N_W_F1,PLAZA,Food Court – North,PATH,PLAZA,F1,OUTDOOR_OPEN_AIR,MALL,Falso,0.5626,0.4889,,Verdadero,Food Court – North,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_PLZ_FC_N_W_M1,PLAZA,Food Court – North,PATH,PLAZA,F1,OUTDOOR_OPEN_AIR,MALL,Falso,0.5986,0.5139,,Verdadero,Food Court – North,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_PLZ_FC_N_W_M2,PLAZA,Food Court – North,PATH,PLAZA,F1,OUTDOOR_OPEN_AIR,MALL,Falso,0.5836,0.5029,,Verdadero,Food Court – North,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_PLZ_FC_S_E_F1,PLAZA,Food Court – South,PATH,PLAZA,F1,OUTDOOR_OPEN_AIR,MALL,Falso,0.7836,0.5329,,Verdadero,Food Court – South,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_PLZ_FC_S_E_M1,PLAZA,Food Court – South,PATH,PLAZA,F1,OUTDOOR_OPEN_AIR,MALL,Falso,0.7566,0.5069,,Verdadero,Food Court – South,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_PLZ_FC_S_E_M2,PLAZA,Food Court – South,PATH,PLAZA,F1,OUTDOOR_OPEN_AIR,MALL,Falso,0.7276,0.4869,,Verdadero,Food Court – South,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_PLZ_FC_S_E_M3,PLAZA,Food Court – South,PATH,PLAZA,F1,OUTDOOR_OPEN_AIR,MALL,Falso,0.7056,0.4689,,Verdadero,Food Court – South,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_PLZ_FC_S_N_F1,PLAZA,Food Court – South,PATH,PLAZA,F1,OUTDOOR_OPEN_AIR,MALL,Falso,0.6876,0.4689,,Verdadero,Food Court – South,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_PLZ_FC_S_S_F1,PLAZA,Food Court – South,PATH,PLAZA,F1,OUTDOOR_OPEN_AIR,MALL,Falso,0.7186,0.6299,,Verdadero,Food Court – South,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_PLZ_FC_S_S_M1,PLAZA,Food Court – South,PATH,PLAZA,F1,OUTDOOR_OPEN_AIR,MALL,Falso,0.7326,0.6029,,Verdadero,Food Court – South,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_PLZ_FC_S_S_M2,PLAZA,Food Court – South,PATH,PLAZA,F1,OUTDOOR_OPEN_AIR,MALL,Falso,0.7506,0.5839,,Verdadero,Food Court – South,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
