FROM,TO,MODE,BIDIRECTIONAL,WHEELCHAIR,STROLLER,LUGGAGE,CREATED,STATUS
COR_PLZ_MAIN_E_M2,NODE_DOOR_BIJOUBRIGITTE,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-27T19:59:37Z,ACTIVE
COR_PLZ_MAIN_N_F0,COR_MAIN_E_S,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:22:28.685Z,ACTIVE
COR_PLZ_MAIN_N_F0,COR_PLZ_CROSS_NS_N_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:22:34.927Z,ACTIVE
COR_PLZ_MAIN_N_M1,COR_PLZ_MAIN_N_M2,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:29:32.999Z,ACTIVE
COR_PLZ_MAIN_N_M1,NODE_DOOR_STRADIVARIUS,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-27T20:02:39Z,ACTIVE
COR_PLZ_MAIN_N_M2,COR_PLZ_STAGE_N_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:30:32.902Z,ACTIVE
COR_PLZ_MAIN_N_M3,COR_PLZ_MAIN_N_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:30:16.783Z,ACTIVE
COR_PLZ_MAIN_N_M3,COR_PLZ_MAIN_N_M2,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:30:09.294Z,ACTIVE
COR_PLZ_MAIN_N_M3,COR_PLZ_STAGE_N_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:30:28.474Z,ACTIVE
COR_PLZ_MAIN_N_M3,SEATING_MAIN_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:30:22.684Z,ACTIVE
COR_PLZ_MAIN_S_F0,COR_PLZ_MAIN_E_M3,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:21:37.233Z,ACTIVE
COR_PLZ_MAIN_S_F0,COR_PLZ_MAIN_S_M1,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:24:56.482Z,ACTIVE
COR_PLZ_MAIN_S_M2,COR_PLZ_MAIN_S_M1,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:27:26.717Z,ACTIVE
COR_PLZ_MAIN_S_M2,COR_PLZ_MAIN_S_M3,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:27:19.948Z,ACTIVE
COR_PLZ_MAIN_S_M2,ESC_C_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:27:37.677Z,ACTIVE
