ANCHOR_ID,ANCHOR_TYPE,NAME,ANCHOR_ROLE,ANCHOR_CLASS,FLOOR,FLOOR_TYPE,VERTICAL,X,Y,POLYGON,WALKABLE,NOTES,STATUS,ACCESS_WHEELCHAIR,ACCESS_STROLLER,ACCESS_LUGGAGE,PRE_SITE_QA,
ESC_EAST_B1,ESCALATOR,East Escalator,VERTICAL,TRANSPORT,F1,GROUND,TRUE,0.6226,0.2839,,TRUE,,PRE_SITE_QA,FALSE,FALSE,FALSE,TRUE,
ESC_EAST_F0,ESCALATOR,East Escalator,VERTICAL,TRANSPORT,F1,GROUND,TRUE,0.6276,0.2769,,TRUE,,PRE_SITE_QA,FALSE,FALSE,FALSE,TRUE,
ESC_NORTH_F0,ESCALATOR,North Escalator,VERTICAL,TRANSPORT,F0,GROUND,TRUE,0.3726,0.1269,,TRUE,,PRE_SITE_QA,FALSE,FALSE,FALSE,TRUE,
ESC_NORTH_F1,ESCALATOR,North Escalator,VERTICAL,TRANSPORT,F1,GROUND,TRUE,0.3626,0.0929,,TRUE,,PRE_SITE_QA,FALSE,FALSE,FALSE,TRUE,
ESC_WEST_B1,ESCALATOR,West Escalator,VERTICAL,TRANSPORT,F0,BASEMENT,TRUE,0.5786,0.7219,,TRUE,,PRE_SITE_QA,FALSE,FALSE,FALSE,TRUE,
ESC_WEST_F0,ESCALATOR,West Escalator,VERTICAL,TRANSPORT,F1,GROUND,TRUE,0.5676,0.7399,,TRUE,,PRE_SITE_QA,FALSE,FALSE,FALSE,TRUE,
EV_CHARGING_1_F0,EV_CHARGING,EV Charging Station 1,AMENITY,SERVICE,F0,GROUND,FALSE,0.433,0.8295,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
EV_CHARGING_2_B1,EV_CHARGING,EV Charging Station 2,AMENITY,SERVICE,B1,BASEMENT,FALSE,0.3676,0.6039,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
EXT_GAS_STATION_PARKING,POI,Gas Station,PARKING_SERVICE,SERVICE,F0,outdoor,FALSE,0.2446,0.6809,,FALSE,"Outside mall, located on parking lot",PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
FIRST_AID_F0,FIRST_AID,First Aid Point,AMENITY,AMENITY,F0,GROUND,FALSE,0.6176,0.5399,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
INFO_MAIN_F0,INFO,Information Desk,AMENITY,AMENITY,F0,GROUND,FALSE,0.6176,0.5399,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
