FROM,TO,MODE,BIDIRECTIONAL,WHEELCHAIR,STROLLER,LUGGAGE,CREATED,STATUS,,,,,,,
COR_PLZ_MAIN_S_F0,COR_PLZ_MAIN_E_M3,WALK,TRUE,,,,2026-02-25T21:21:37.233Z,ACTIVE,,,,,,,
COR_PLZ_CROSS_WE_W_M1,COR_PLZ_CROSS_WE_W_F0,WALK,TRUE,,,,2026-02-25T21:22:07.695Z,ACTIVE,,,,,,,
COR_PLZ_CROSS_WE_W_M1,COR_PLZ_CROSS_NS_S_F0,WALK,TRUE,,,,2026-02-25T21:22:14.598Z,ACTIVE,,,,,,,
COR_PLZ_MAIN_N_F0,COR_MAIN_E_S,WALK,TRUE,,,,2026-02-25T21:22:28.685Z,ACTIVE,,,,,,,
COR_PLZ_MAIN_N_F0,COR_PLZ_CROSS_NS_N_F0,WALK,TRUE,,,,2026-02-25T21:22:34.927Z,ACTIVE,,,,,,,
COR_PLZ_CROSS_NS_N_F0,COR_PLZ_CROSS_WE_W_M1,WALK,TRUE,,,,2026-02-25T21:22:40.912Z,ACTIVE,,,,,,,
COR_PLZ_CROSS_WE_E_F0,COR_PLZ_CROSS_WE_W_M1,WALK,TRUE,,,,2026-02-25T21:22:47.004Z,ACTIVE,,,,,,,
COR_PLZ_MAIN_E_F0,COR_PLZ_MAIN_W_M3,WALK,TRUE,,,,2026-02-25T21:23:24.068Z,ACTIVE,,,,,,,
COR_PLZ_MAIN_W_M3,COR_PLZ_MAIN_W_M2,WALK,TRUE,,,,2026-02-25T21:23:28.231Z,ACTIVE,,,,,,,
COR_PLZ_CROSS_WE_E_F0,COR_PLZ_MAIN_W_M2,WALK,TRUE,,,,2026-02-25T21:23:36.275Z,ACTIVE,,,,,,,
COR_PLZ_MAIN_W_M2,COR_PLZ_MAIN_W_M1,WALK,TRUE,,,,2026-02-25T21:23:38.223Z,ACTIVE,,,,,,,
COR_PLZ_MAIN_W_M1,COR_PLZ_MAIN_N_F0,WALK,TRUE,,,,2026-02-25T21:23:49.007Z,ACTIVE,,,,,,,
COR_PLZ_MAIN_W_M1,COR_PLZ_CROSS_NS_N_F0,WALK,TRUE,,,,2026-02-25T21:23:59.662Z,ACTIVE,,,,,,,
COR_PLZ_MAIN_E_F0,COR_PLZ_MAIN_S_M3,WALK,TRUE,,,,2026-02-25T21:24:19.306Z,ACTIVE,,,,,,,
