FROM;TO;MODE;BIDIRECTIONAL;WHEELCHAIR;STROLLER;LUGGAGE;CREATED;STATUS
COR_PLZ_N_W_F0;COR_PLZ_N_N_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_N_W_F0;ELV_N_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_N_W_F0;STR_N_EXIT_F0;WALK;TRUE;FALSE;FALSE;TRUE;MANUAL;ACTIVE
COR_PLZ_S_E_F0;COR_PLZ_S_S_F0;WALK;TRUE;TRUE;TRUE;TRUE;manual;OK
COR_PLZ_S_E_F0;COR_PLZ_S_S_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_S_N_F0;COR_PLZ_MAIN_S_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_S_N_F0;COR_PLZ_S_E_F0;WALK;TRUE;TRUE;TRUE;TRUE;manual;OK
COR_PLZ_S_N_F0;COR_PLZ_S_E_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_S_N_F0;STR_W_F0;WALK;TRUE;FALSE;FALSE;TRUE;MANUAL;ACTIVE
COR_PLZ_S_S_F0;COR_PLZ_S_W_F0;WALK;TRUE;TRUE;TRUE;TRUE;manual;OK
COR_PLZ_S_S_F0;COR_PLZ_S_W_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_S_S_F0;ELV_W_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_S_S_F0;STR_W_OUTSIDE_F0;WALK;TRUE;FALSE;FALSE;TRUE;MANUAL;ACTIVE
COR_PLZ_S_W_F0;COR_PLZ_S_N_F0;WALK;TRUE;TRUE;TRUE;TRUE;manual;OK
COR_PLZ_S_W_F0;COR_PLZ_S_N_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_S_W_F0;COR_PLZ_W_S_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_S_W_F0;ELV_W1_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_S_W_F0;ESC_W_F0;WALK;TRUE;FALSE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_S_W_F0;STR_W1_OUTSIDE_F0;WALK;TRUE;FALSE;FALSE;TRUE;MANUAL;ACTIVE
COR_PLZ_STAGE_E_F0;COR_PLZ_STAGE_S_F0;WALK;TRUE;TRUE;TRUE;TRUE;manual;OK
COR_PLZ_STAGE_N_F0;COR_PLZ_STAGE_E_F0;WALK;TRUE;TRUE;TRUE;TRUE;manual;OK
COR_PLZ_STAGE_S_F0;COR_PLZ_STAGE_W_F0;WALK;TRUE;TRUE;TRUE;TRUE;manual;OK
COR_PLZ_STAGE_W_F0;COR_PLZ_STAGE_N_F0;WALK;TRUE;TRUE;TRUE;TRUE;manual;OK
COR_PLZ_W_E_F0;COR_PLZ_MAIN_W_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_W_E_F0;COR_PLZ_W_S_F0;WALK;TRUE;TRUE;TRUE;TRUE;manual;OK
COR_PLZ_W_E_F0;COR_PLZ_W_S_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_W_N_F0;COR_PLZ_N_W_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
